ÝLÇE ADI;MAHALLE ADI;TRAKTÖR SAYISI
Ilgýn;BÜYÜKOBA;100 Adet
Ilgýn;ÇÝÐÝL;30 Adet
Ilgýn;ÇATAK;70 Adet
Ilgýn;ÇOBANKAYA;70 Adet
Ilgýn;ÇÖMLEKCÝ;60 Adet
Ilgýn;DEREKÖY;30 Adet
Ilgýn;DIÐRAK;20 Adet
Ilgýn;DÜÐER;40 Adet
Ilgýn;ELDEÞ;150 Adet
Ilgýn;GEÇÝT;60 Adet
Ilgýn;GEDÝKÖREN;50 Adet
Ilgýn;GÖSTERE;200 Adet
Ilgýn;GÖKÇEYURT;150 Adet
Ilgýn;GÖLYAKA;70 Adet
Ilgýn;GÖKBUDAK;15 Adet
Ilgýn;GÜNEYPINAR;20 Adet
Ilgýn;HARMANYAZI;200 Adet
Ilgýn;ÝHSANÝYE;40 Adet
Ilgýn;KAPAKLI;70 Adet
Ilgýn;KARAKÖY;100 Adet
Ilgýn;KALEKÖY;20 Adet
Ilgýn;MAHMUTHÝSAR;120 Adet
Ilgýn;MECÝDÝYE;60 Adet
Ilgýn;MÝSAFÝRLÝ;25 Adet
Ilgýn;OLUKPINAR;100 Adet
Ilgýn;ORHANÝYE;300 Adet
Ilgýn;ORMANÖZÜ;5 Adet
Ilgýn;SADIKKÖY;100 Adet
Ilgýn;SEBÝLLER;15 Adet
Ilgýn;TEKELER;50 Adet
Ilgýn;YUKARIÇÝÐÝL;500 Adet
Ilgýn;YORAZLAR;60 Adet
Ilgýn;ZAFERÝYE;50 Adet
Ilgýn;AVDAN;130 Adet
Kadýnhaný;OSMANCIK;150 Adet
Kadýnhaný;AFÞARLI;25 Adet
Kadýnhaný;ALABAÐ;60 Adet
Kadýnhaný;ATLANTI;300 Adet
Kadýnhaný;BAKIRPINAR;10 Adet
Kadýnhaný;BAÞKUYU;250 Adet
Kadýnhaný;BAYRAMLI;100 Adet
Kadýnhaný;BEYKAVAÐI;30 Adet
Kadýnhaný;BULGURPINAR;18 Adet
Kadýnhaný;ÇAVDAR;60 Adet
Kadýnhaný;ÇEÞMECÝK;100 Adet
Kadýnhaný;ÇUBUK;20 Adet
Kadýnhaný;DEMÝROLUK;15 Adet
Kadýnhaný;HACIMEHMETLÝ;8 Adet
Kadýnhaný;HACIOFLAZLAR;30 Adet
Kadýnhaný;HACIPÝRLÝ;40 Adet
Kadýnhaný;KABACALI;12 Adet
