||2010|2012135.0|4726145.0|154817.0|410784.0|2531846.0|172352.0|63535.0|112.0|||||4042.0||204291.0||209958.0|10852.0|19607.0|1330.0||190.0|1430.0||3700.0|540.0||||985.0|1625.0|234032.0|24967.0||78849.0|15875.0||85950.0||||773061.0|||||||67378.0||||4796.0|188874.0|20033.0|||||||97619.0|103.0||||||||||||9746.0||||||78849.0||||||
||2011|2023442.0|5239395.0|230971.0|458045.0|2180938.0|147280.0|46409.0|111.0|||||4460.0||164560.0||202819.0|8593.0|17045.0|1100.0||190.0|970.0||3710.0|275.0||||1773.0|720.0|334067.0|33978.0||83655.0|13935.0||93542.0||||703157.0|||||||92796.0||||2803.0|173018.0|19709.0|||||||124302.0|120.0||||||||||||7460.0||||||83655.0||||||
||2012|1506340.0|4542829.0|382539.0|309838.0|2438856.0|68160.0|52408.0||||||6905.0||161715.0||203837.0|13469.0|10727.0|1973.0||270.0|538.0||4473.0|540.0||||8799.0|602.0|595227.0|15558.0||19928.0|14399.0||135328.0||||697891.0|||||||135126.0||||3654.0|209524.0|21468.0|||191.0|1231.0|116.0||211334.0|372.0|120.0|||||||||||7979.0||||||19928.0||||||
||2013|1860804.0|5214130.0|341310.0|217600.0|2306009.0|63630.0|51022.0||||600.0||4841.0||135754.0||233802.0|16073.0|9823.0|2050.0||118.0|1458.0||3755.0|1106.0||||10115.0|605.0|671695.0|15083.0||56710.0|18569.0||107930.0||||782005.0|||||||128103.0||||3462.0|195502.0|17267.0|||203.0||||211636.0|355.0|285.0|||||||||||7210.0||||||56710.0||||||
||2014|2008178.0|5136968.0|372185.0|253941.0|2322761.0|48562.0|43921.0||||860.0||6147.0||162647.0||217285.0|14146.0|9457.0|2550.0||40.0|1528.0||3755.0|390.0||||11378.0|2550.0|594846.0|21346.0||43972.0|33390.0||121257.0||||727322.0||||||||25210.0|82712.0|338.0|2260.0|220855.0|16697.0|||220.0||||220844.0|333.0|350.0|||||||1015.0|360.0||450.0||5250.0|7230.0|||4180.0|43972.0||||||
||2015|2325698.0|4859475.0|548861.0|322561.0|2416454.0|53285.0|48068.0||||860.0||8291.0||191849.0||198779.0|13427.0|8974.0|2510.0||60.0|2248.0||3735.0|357.0||||6094.0|4000.0|460376.0|26060.0||85935.0|38565.0||126780.0||||714824.0||||||||32230.0|96019.0|368.0|2367.0|223626.0|16768.0|||320.0||||231432.0|335.0|413.0|||||||1225.0|360.0||450.0||5225.0|7220.0|||4180.0|85935.0|||2.0|||
||2016|2477115.0|4904732.0|634981.0|277066.0|2714218.0|80679.0|49633.0||||2000.0||6363.0||190534.0||212707.0|14536.0|10907.0|2533.0||60.0|2127.0||3755.0|283.0||||5316.0|4700.0|526832.0|25128.0||61384.0|40191.0||134907.0||||844108.0||||||||44466.0|112867.0|155.0|1500.0|229461.0|14041.0|||285.0||||247945.0|335.0|605.0|||||||2402.0|360.0||6414.0||14619.0|2140.0|100.0||4400.0|61384.0|||60.0|||
||2017|2463233.0|4998306.0|637972.0|312988.0|2422416.0|83840.0|74290.0||||3470.0||8933.0||191438.0||241991.0|18452.0|23189.0|2460.0||60.0|3060.0||3710.0|277.0||||8393.0|5000.0|670212.0|30708.0||63563.0|38618.0||138269.0||||829317.0||||||||35707.0|109139.0|155.0|2255.0|240719.0|12433.0|||292.0|500.0|||279658.0|325.0|713.0|||||||4648.0|735.0||1125.0||13070.0|2190.0|100.0||4350.0|63563.0|||70.0|||
||2018|2233888.0|4540975.0|1074626.0|317410.0|2725640.0|105094.0|58709.0||||4600.0||12745.0||148111.0||351518.0|29219.0|101521.0|2271.0||60.0|713.0||3290.0|112.0||||32373.0|4500.0|727561.0|28783.0||90155.0|30696.0||148333.0||||731458.0||||||||31731.0|105505.0|2760.0|2515.0|268854.0|12330.0|||320.0|655.0|||307738.0|267.0|176.0||||||200.0|7855.0|757.0||2000.0||9502.0|2148.0|100.0||3650.0|90155.0|||93.0|||
||2019|2103603.0|4111761.0|1245353.0|367251.0|3053198.0|117089.0|87954.0||||11335.0||26224.0||148331.0||336196.0|65157.0|104824.0|950.0||100.0|288.0||1775.0|138.0||||94084.0|5200.0|718679.0|34881.0||79617.0|17611.0||143540.0||||883948.0||||||||41858.0|106938.0|3768.0|1565.0|351535.0|12767.0||4055.0|350.0|1062.0|||381767.0|413.0|3872.0|400.0|||||3230.0|13149.0|11059.0||2000.0||8476.0|4336.0|100.0||1800.0|79617.0|||167.0|||
