|||Sütunlar|||||
Satırlar||||||||
||||||||
|||Meyveler, İçecek Ve Baharat Bitkileri Alanı - Dekar|Nadas Alanı - Dekar|Sebze Alanı - Dekar|Süs Bitkileri Alanı - Dekar|Tahıllar Ve Diğer Bitkisel Ürünlerin Alanı - Dekar|
||2015|48054.0|127377.0|32190.0|0.0|1117580.0|
||2016|54908.0|146465.0|30105.0|0.0|1099038.0|
||2017|56821.0|114000.0|31040.0|0.0|1012985.0|
||2018|62931.0|116450.0|31770.0|0.0|1028814.0|
||2019|70162.0|58700.0|34853.0|0.0|1138928.0|
||2020|71943.0|24175.0|32327.0|0.0|1181508.0|
||2021|75291.0|56120.0|34298.0|0.0|1218091.0|
|Bolu-14|2004|30000.0|231600.0|14610.0|0.0|1040400.0|
||2005|30340.0|206480.0|14380.0|0.0|1079780.0|
||2006|30158.0|216209.0|14768.0|0.0|1024435.0|
||2007|29872.0|214950.0|15157.0|0.0|995130.0|
||2008|29209.0|215750.0|15208.0|0.0|1023359.0|
||2009|37691.0|188900.0|13830.0|0.0|851431.0|
||2010|38908.0|165019.0|11425.0|0.0|908865.0|
||2011|38825.0|97743.0|10881.0|22.2|924279.0|
||2012|38828.0|193122.0|9994.0|22.2|962556.0|
||2013|38973.0|215997.0|10044.0|22.2|946933.0|
||2014|37599.0|181089.0|11283.0|0.0|929272.0|
||2015|37376.0|201961.0|11558.0|0.0|928015.0|
||2016|38055.0|192575.0|10880.0|0.0|933534.0|
||2017|38399.0|186504.0|10671.0|0.0|921904.0|
||2018|38154.0|188235.0|10360.0|0.0|903784.0|
||2019|38933.0|175417.0|9121.0|0.0|914691.0|
||2020|24460.0|154373.0|9453.0|0.0|939440.0|
||2021|24981.0|159533.0|8324.0|0.0|946312.0|
|Burdur-15|2004|138520.0|82800.0|66980.0|0.0|1333030.0|
||2005|137310.0|110310.0|61800.0|0.0|1403760.0|
||2006|106772.0|109206.0|62740.0|0.0|1344646.0|
||2007|114721.0|134534.0|54862.0|0.0|1408996.0|
||2008|117103.0|122074.0|60085.0|0.0|1335307.0|
||2009|125364.0|113743.0|58695.0|0.0|1268697.0|
||2010|162052.0|103313.0|54920.0|0.0|1315862.0|
