||2015|369.0|349.0|1017.0|369.0|353.0|357.0|258.0||||187.0||389.0||380.0||150.0|167.0|143.0|325.0||67.0|113.0||109.0|412.0||||326.0|34.0|457.0|281.0||81.0|146.0||3895.0||||6394.0||||||||1161.0|1653.0|399.0|463.0|5014.0|1333.0|||4469.0||||5828.0|5307.0|5632.0|||||||1557.0|211.0|91.0||134.0|73.0|||16.0|81.0|||0.0|||
||2016|310.0|261.0|1005.0|272.0|270.0|282.0|227.0||||181.0||332.0||367.0||151.0|172.0|135.0|283.0||67.0|108.0||109.0|378.0||||398.0|33.0|390.0|280.0||82.0|128.0||4075.0||||6711.0||||||||1007.0|1640.0|329.0|558.0|4916.0|1283.0|||4281.0||||5921.0|5307.0|5241.0|||||||1268.0|211.0|150.0||146.0|127.0|150.0||46.0|75.0|||33.0|||
||2017|314.0|284.0|975.0|248.0|328.0|341.0|227.0||||168.0||360.0||367.0||143.0|131.0|161.0|303.0||67.0|110.0||108.0|383.0||||469.0|38.0|380.0|280.0||65.0|176.0||4101.0||||7244.0||||||||1205.0|1866.0|394.0|501.0|4856.0|1296.0|||4277.0|250.0|||5902.0|5292.0|5676.0|||||||1498.0|407.0|120.0||123.0|118.0|160.0||45.0|59.0|||29.0|||
||2018|302.0|300.0|1028.0|352.0|314.0|305.0|228.0||||178.0||367.0||361.0||139.0|113.0|131.0|350.0||67.0|112.0||108.0|348.0||||402.0|40.0|408.0|283.0||77.0|126.0||4126.0||||6944.0||||||||1333.0|2066.0|629.0|502.0|4811.0|1290.0|||4031.0|247.0|||5925.0|5472.0|5841.0||||||540.0|1895.0|942.0|120.0||119.0|122.0|150.0||45.0|77.0|||43.0|||
||2019|292.0|309.0|1080.0|382.0|330.0|294.0|230.0||||186.0||345.0||335.0||139.0|105.0|104.0|398.0||100.0|122.0||108.0|370.0||||390.0|42.0|416.0|283.0||71.0|138.0||4178.0||||6646.0||||||||1540.0|1917.0|622.0|513.0|5050.0|1305.0||444.0|3823.0|162.0|||6128.0|6041.0|5686.0|550.0|||||595.0|1560.0|1853.0|55.0||128.0|84.0|150.0||45.0|71.0|||60.0|||
||2020|315.0|307.0|1035.0|342.0|326.0|306.0|243.0||644.0||311.0||363.0||336.0||137.0|153.0|104.0|340.0||67.0|133.0||110.0|317.0||||456.0|43.0|417.0|284.0||76.0|133.0||4204.0||||7911.0||||||||1752.0|1760.0|1289.0|1205.0|4930.0|1386.0||805.0|4157.0|1768.0|||6164.0|6722.0|5579.0|1200.0||||1050.0|2500.0|1596.0|4223.0|55.0||110.0|98.0|30.0||47.0|76.0|||129.0|||
||2021|274.0|276.0|1016.0|137.0|234.0|137.0|152.0||||296.0||265.0||329.0||103.0|66.0|37.0|324.0||67.0|132.0||92.0|368.0||||435.0|37.0|381.0|295.0||71.0|123.0||4278.0||||7462.0||||||||1445.0|1629.0|641.0|702.0|5086.0|1368.0||710.0|4618.0|1421.0|||6130.0|6379.0|5019.0|600.0||4000.0||600.0|2000.0|1470.0|3903.0|40.0||61.0|91.0|67.0|200.0|53.0|71.0|||153.0|||
|Kütahya-43|2004|260.0|223.0|216.0|257.0|275.0|125.0|147.0||282.0||300.0||317.0||154.0|217.0|109.0||176.0||100.0|141.0||200.0|200.0||||||100.0|110.0|128.0|50.0|54.0|||1854.0||||4039.0||100.0||||50.0|||||||||||||4493.0|5316.0|5603.0|||167.0||||||||128.0||||||49.0||||||
||2005|253.0|215.0|231.0|303.0|285.0|131.0|179.0|300.0|298.0||200.0||346.0||141.0|220.0|111.0||207.0||100.0|99.0||135.0|200.0||||||63.0|95.0|114.0|50.0|45.0|||1821.0||||4351.0||92.0||||50.0|||||||||||||3791.0|4732.0|4892.0|||160.0||||||||132.0||||||41.0||||||
||2006|210.0|231.0|252.0|257.0|262.0|232.0|206.0||300.0||200.0||311.0||147.0|197.0|109.0|350.0|84.0||133.0|100.0||105.0|182.0||||||80.0|105.0|127.0||58.0|||1813.0||||4214.0||54.0|||||||||||||||||3891.0|4811.0|4759.0|||||||||||84.0||||||52.0||||||
||2007|166.0|194.0|239.0|190.0|228.0|189.0|150.0||300.0||200.0||286.0||142.0|191.0|103.0|300.0|79.0||100.0|92.0||99.0|200.0||||||78.0|95.0|120.0||43.0|||1838.0|1163.0|||3764.0||80.0|||||||||||||||||3526.0|4642.0|4995.0|||100.0||||||||76.0||||||39.0||||||
||2008|276.0|220.0|250.0|341.0|268.0|223.0|180.0||300.0||||299.0||143.0|193.0|105.0|350.0|84.0||100.0|97.0||100.0|100.0||||||93.0|96.0|132.0||53.0|||1999.0|1497.0|2000.0||5239.0||81.0|||||||||||||||||3509.0|4739.0|5333.0|||100.0||||||||91.0||||||48.0||||||
||2009|250.0|209.0|206.0|256.0|250.0|230.0|206.0||300.0||||340.0||155.0|194.0|114.0|350.0|70.0||100.0|97.0||100.0|100.0||||||117.0|98.0|122.0||60.0|83.0||2108.0|1546.0|||5228.0||70.0|||||||||||||||||3583.0|4722.0|5081.0|||118.0||||||||97.0||||||54.0||||||
||2010|209.0|179.0|239.0|315.0|216.0|227.0|190.0||300.0||||336.0||129.0|212.0|116.0||100.0||100.0|92.0||111.0|100.0||||||54.0|129.0|133.0||58.0|167.0||2114.0||||5116.0||51.0|||||735.0||||700.0|1351.0|867.0||||||3582.0|4661.0|4841.0|||||||||||95.0||||||53.0||||||
||2011|213.0|197.0|205.0|247.0|227.0|255.0|191.0||300.0||||323.0||108.0|211.0|106.0||109.0||100.0|93.0||110.0|100.0||||||57.0|136.0|133.0||70.0|196.0||2295.0||||4878.0||48.0|||||800.0||||700.0|1412.0|1054.0||||||2995.0|4727.0|5051.0|||||||||||97.0||||||64.0||||||
||2012|212.0|197.0|199.0|310.0|254.0|220.0|177.0||151.0||||287.0||111.0|197.0|111.0||112.0||42.0|57.0||72.0|83.0||||||34.0|110.0|114.0||15.0|107.0||1850.0||||4749.0||70.0|||||682.0||||583.0|1108.0|795.0||683.0||741.0|142.0|1965.0|4495.0|4209.0|||||||||||79.0||||||14.0||||||
||2013|223.0|190.0|212.0|264.0|260.0|243.0|180.0||300.0||||296.0||131.0|192.0|108.0||102.0||100.0|99.0||92.0|||||||57.0|175.0|120.0||41.0|100.0||2323.0||||5089.0||76.0|||||722.0||||718.0|1182.0|751.0||750.0||706.0|150.0|2332.0|4628.0|4548.0|||||||||||84.0||||||41.0||||||
||2014|233.0|218.0|186.0|336.0|275.0|319.0|191.0||310.0||||305.0||137.0|200.0|116.0||114.0||100.0|100.0||89.0|||||||61.0|162.0|115.0||53.0|149.0||2490.0||||5431.0||71.0||||||641.0|539.0|466.0|700.0|1384.0|771.0||558.0||617.0|650.0|2614.0|5271.0|4538.0||||||||||||||175.0|||53.0||||||
||2015|221.0|159.0|178.0|246.0|229.0|212.0|214.0||250.0||||312.0||150.0|198.0|114.0||104.0||98.0|99.0||94.0||||||336.0|63.0|154.0|119.0||44.0|149.0||1442.0||||4959.0||96.0||||||609.0|644.0|472.0|600.0|1362.0|993.0||690.0||795.0|650.0|2581.0|4960.0|4655.0||||||||||||||113.0|||44.0|149.0|||||
||2016|230.0|164.0|202.0|305.0|233.0|264.0|176.0||320.0||||305.0||167.0|209.0|116.0|125.0|105.0|300.0|100.0|110.0||93.0||||||336.0|68.0|144.0|100.0||52.0|130.0||2618.0||||5540.0||121.0||||||620.0|728.0|544.0|700.0|1508.0|997.0||698.0|500.0|672.0|591.0|2388.0|5287.0|4827.0|3804.0||300.0||||1750.0|557.0|1613.0|||||111.0|||47.0|152.0||0.0|||
||2017|335.0|239.0|272.0|302.0|321.0|372.0|184.0||330.0||||356.0||172.0|211.0|93.0|125.0|109.0|278.0|100.0|108.0||89.0||||||325.0|71.0|156.0|113.0||62.0|179.0||2654.0||||5455.0||137.0||||||930.0|1175.0|1018.0|700.0|3259.0|1049.0||1090.0|556.0|992.0|657.0|2473.0|5089.0|4702.0|4000.0||250.0||||800.0|832.0|2070.0|||||120.0|||56.0|281.0||0.0|||
