|||Sütunlar||||||||||||||||||
Satırlar|||||||||||||||||||||
|||||||||||||||||||||
|||01.41.20.01.01. (Sığır Sütü (Kültür) (Manda Sütü Hariç)) ve Ton|01.41.20.01.02. (Sığır Sütü (Kültür Melezi) (Manda Sütü Hariç)) ve Ton|01.41.20.01.03. (Sığır Sütü (Yerli) (Manda Sütü Hariç)) ve Ton|01.41.20.02.03. (Manda Sütü (Yerli)) ve Ton|01.45.21.00.01. (Koyun Sütü, Merinos, İşlenmemiş) ve Ton|01.45.21.00.02. (Koyun Sütü, Yerli Ve Diğerleri, İşlenmemiş) ve Ton|01.45.22.00.01. (Keçi Sütü (Tiftik), İşlenmemiş) ve Ton|01.45.22.00.02. (Keçi Sütü (Kıl Keçisi Ve Diğerleri), İşlenmemiş) ve Ton|01.45.30.01.01. (Yapağı (Merinos), Hayvancılık) ve Ton|01.45.30.01.02. (Yapağı (Yerli Ve Diğerleri), Hayvancılık) ve Ton|01.45.30.02.01. (Tiftik, Hayvancılık) ve Ton|01.45.30.02.02. (Keçi Kılı, Hayvancılık) ve Ton|01.49.19.01.01. (Arılar (Kovan Halinde), Eski Tip) ve Kovan Sayısı|01.49.19.01.02. (Arılar (Kovan Halinde), Yeni Tip) ve Kovan Sayısı|01.49.19.02.01. (İpek Böceği (Damızlık İpek Böceği Hariç)) ve Kutu|01.49.21. (Doğal Bal) ve Ton|01.49.25.00.00. (İpek Böceği Kozası, Çile Yapmaya Uygun Olanlar) ve Ton|01.49.26.00.01. (Balmumu, Arı) ve Ton|
|Konya(Ilgın)-1400|2015|39446.847|19765.12|1129.517|10.272|138.84|2784.276|3.455|312.816|24.534|100.197|0.233|8.353|0.0|4149.0||54.0||2.6|
||2016|43000.617|23471.08|976.561|8.988|144.18|2805.369|3.702|362.208|26.775|102.886|0.258|9.533|0.0|3804.0||30.0||1.1|
||2017|41934.486|27177.04|218.844|39.804|249.2|2953.02|2.997|410.365|39.54|111.488|0.222|8.106|0.0|4646.0|2.0|32.0|0.037|1.3|
||2018|46199.01|24706.4|176.487|25.68|281.24|2812.4|3.103|413.411|44.46|105.138|0.232|8.171|0.0|4615.0||36.0||1.252|
||2019|47975.895|25941.72|211.784|32.1|295.48|2953.02|3.914|504.786|44.49|109.755|0.243|8.702|0.0|6155.0||31.7||1.594|
||2020|||||||||29.43|147.226|0.243|6.313|0.0|4600.0||19.0||2.3|
||2021|||||||||32.406|171.79||7.127|0.0|4615.0||60.0||1.25|
|Konya(Kadınhanı)-1422|2015|49752.78|3705.96|352.974||356.0|2601.47||214.032|49.5|92.178||5.138|0.0|240.0||1.2||0.03|
||2016|43000.617|3088.3|211.784||412.355|2475.053||353.976|46.644|91.938||4.826|0.0|300.0||0.85||0.01|
||2017|48846.569|3463.837|180.017||645.25|3235.385||477.868|72.444|122.478||6.565|0.0|372.0||1.0||0.012|
||2018|48828.8|3542.898|183.546||653.082|3297.539||477.621|73.425|124.376||6.556|0.0|835.0||2.2||0.028|
