|||Sütunlar||||||||||||||||||||||||||||
Satırlar|||Konya(Akören)-1753|Konya(Akşehir)-1122|Konya(Altınekin)-1760|Konya(Beyşehir)-1188|Konya(Bozkır)-1207|Konya(Cihanbeyli)-1222|Konya(Derbent)-1907|Konya(Derebucak)-1789|Konya(Doğanhisar)-1285|Konya(Emirgazi)-1920|Konya(Ereğli)-1312|Konya(Güneysınır)-1933|Konya(Hadim)-1375|Konya(Halkapınar)-1937|Konya(Hüyük)-1804|Konya(Ilgın)-1400|Konya(Kadınhanı)-1422|Konya(Karapınar)-1441|Konya(Karatay)-1814|Konya(Kulu)-1491|Konya(Meram)-1827|Konya(Sarayönü)-1598|Konya(Selçuklu)-1839|Konya(Seydişehir)-1617|Konya(Tuzlukçu)-1990|Konya(Yunak)-1735|Konya(Çeltik)-1902|Konya(Çumra)-1262|
|||||||||||||||||||||||||||||||
|||||||||||||||||||||||||||||||
||2019|1024.0|72.0|59733.0||3.0|57173.0||||119.0|17066.0|469.0||107.0|7.0|13988.0|69972.0|84522.0|200531.0|1122.0|597.0|7253.0|17066.0|171.0|1685.0|45226.0|19626.0|72532.0|
||2020|1125.0|65.0|54000.0||8.0|59400.0|||9.0|320.0|7200.0|369.0||275.0|7.0|12589.0|69750.0|72900.0|186300.0|1149.0|576.0|5400.0|20250.0|135.0|2295.0|31500.0|23850.0|63000.0|
||2021|1350.0|45.0|71000.0||10.0|66000.0||300.0|350.0|150.0|15000.0|1050.0||305.0||14800.0|84000.0|74000.0|213000.0|1514.0|750.0|13000.0|25000.0|250.0|4200.0|43000.0|38000.0|90000.0|
|Hasat Edilen Alan ve Sulu ve Birinci Ekiliş ve 01.11.95.00.02. (Ayçiçeği Tohumu (Çerezlik)) - Dekar|2015|50.0||2400.0||||||||20000.0|4.0||||20.0|500.0||410.0|||50.0|500.0|100.0|45.0||||
||2016|100.0||1500.0||||||||20000.0|4.0||||20.0|400.0||410.0|364.0|||500.0|150.0|40.0||||
||2017|80.0||1500.0||||||||25000.0|||||20.0|400.0||410.0|120.0|||500.0|150.0|400.0||||
||2018|80.0||||||||||25000.0|||||20.0|500.0||200.0|50.0|||300.0|175.0|300.0||||
||2019|73.0||||||||||30292.0|||151.0||24.0|606.0||182.0|61.0|||364.0|242.0|242.0||||
||2020|60.0||||||||||35000.0|||290.0||24.0|800.0||790.0|||500.0|200.0|70.0|600.0||||
||2021|60.0|||||||||450.0|60000.0|||315.0||25.0|6200.0||1478.0|||1000.0|1400.0|120.0|450.0|||7000.0|
|Hasat Edilen Alan ve Sulu ve İkinci Ekiliş ve 01.11.81.00.00. (Soya Fasulyesi) - Dekar|2015|||||||||||||||||||65.0||||||||||
||2016|||||||||||||||||||71.0||||||||||
||2017|||||||||||||||||||65.0||||||||||
||2020||||||||||||||||100.0|||||||||||||
||2021||||||||||||||||100.0|||||||||||||
|Hasat Edilen Alan ve Sulu ve İkinci Ekiliş ve 01.11.95.00.01. (Ayçiçeği Tohumu (Yağlık)) - Dekar|2015|||1900.0|||3000.0||||100.0|||||||400.0|2000.0|11100.0||||3000.0|||||4250.0|
||2016|100.0||1800.0|||3000.0|||||1500.0||||||400.0|2000.0|11100.0||||3000.0|||||3500.0|
||2017|100.0||1700.0|||3000.0|||||1500.0|||||||2000.0|11100.0||||3000.0|||||3500.0|
||2018|73.0|58.0|1820.0|||2730.0|||||1365.0||||||455.0|1820.0|10920.0||||2730.0|||||4550.0|
||2019|84.0|50.0|10080.0|||2520.0|||||1260.0||||||420.0|1680.0|5964.0||||1874.0|||||12600.0|
||2020|86.0||1075.0|||2580.0|||||1032.0|||||2580.0|387.0|11180.0|14448.0||||860.0|||||8600.0|
||2021|220.0||2300.0|||3000.0|||||2000.0|||||2500.0|460.0|18000.0|25000.0||||1860.0|||||20000.0|
|Hasat Edilen Alan ve Sulu ve İkinci Ekiliş ve 01.11.95.00.02. (Ayçiçeği Tohumu (Çerezlik)) - Dekar|2015|||50.0||||||||||||||||||||50.0||||||
||2016|||||||||||||||||||||||50.0||||||
||2017|||||||||||||||||||||||100.0||||||
||2018||33.0|||||||||||||||||||||100.0||||||
||2019||77.0|||||||||||||||||||||100.0||||||
||2021|||||||||||||||||120.0||||||100.0||||||
|Verim ve Kuru ve Birinci Ekiliş ve 01.11.81.00.00. (Soya Fasulyesi) - Kg/Dekar|2020||||||||||||||||||||250.0|||||||||
||2021|||||||||||||||||||||||||200.0||||
|Verim ve Kuru ve Birinci Ekiliş ve 01.11.95.00.01. (Ayçiçeği Tohumu (Yağlık)) - Kg/Dekar|2015|244.0|195.0|98.0|||243.0|||235.0|||162.0|||102.0|146.0|340.0||234.0|215.0||163.0||||||195.0|
||2016|91.0|172.0|91.0|||226.0|||139.0|||144.0||133.0|83.0|137.0|317.0||126.0|189.0||||||||162.0|
||2017|97.0|196.0|101.0|||244.0|||125.0|||135.0|||63.0|145.0|342.0||146.0|193.0|||||147.0|||185.0|
||2018|100.0||251.0|||250.0|||130.0|||150.0|259.0||67.0|151.0|350.0||150.0|201.0||||297.0||||150.0|
||2019|203.0||199.0|||250.0|||131.0|||200.0|||48.0|150.0|320.0||150.0|144.0|116.0|||299.0||||150.0|
||2020|211.0||321.0|||267.0|320.0|||||256.0|||53.0|235.0|341.0||160.0|153.0||||||||128.0|
||2021|160.0|88.0|320.0|||251.0|273.0|||||51.0||||170.0|180.0||200.0|69.0|||||73.0|||70.0|
|Verim ve Kuru ve Birinci Ekiliş ve 01.11.95.00.02. (Ayçiçeği Tohumu (Çerezlik)) - Kg/Dekar|2015||||||||||||76.0||100.0||100.0||||||100.0|||156.0|||120.0|
||2016||||||||||||77.0||133.0||100.0|||||||||125.0|||120.0|
||2017||||||||||||76.0||||100.0||||150.0|80.0||||167.0|||120.0|
||2018||||||||||||101.0||||100.0||||160.0|80.0||||138.0|||120.0|
||2019||||127.0||||||||99.0||||83.0||||148.0|80.0||||124.0|||120.0|
||2020||||160.0||||||||121.0||||83.0|||||114.0||||118.0|||100.0|
||2021||||160.0||||||||49.0||||80.0|||||108.0||||67.0|||69.0|
|Verim ve Kuru ve İkinci Ekiliş ve 01.11.95.00.01. (Ayçiçeği Tohumu (Yağlık)) - Kg/Dekar|2015|||130.0||||||||||||||||||||||||||
||2016|||133.0||||||||||||||||||||||||||
||2017|||133.0||||||||||||||||||||||||||
|Verim ve Sulu ve Birinci Ekiliş ve 01.11.81.00.00. (Soya Fasulyesi) - Kg/Dekar|2015|||400.0||||||||||||||||417.0||||430.0||||||
||2016|||400.0||||||||300.0||||||||417.0||||400.0||||||
||2017|||400.0||||||||300.0||||||||417.0||||410.0||||||
||2018|||393.0||||||||304.0||||||||||||||||||
||2019|||402.0||||||||304.0||||||||||||||||||
||2020|||400.0||||||||300.0||||||||||||||||||
||2021|||400.0||||||||300.0|||||350.0|||||||||400.0|560.0|||
|Verim ve Sulu ve Birinci Ekiliş ve 01.11.95.00.01. (Ayçiçeği Tohumu (Yağlık)) - Kg/Dekar|2015|248.0|297.0|446.0||250.0|495.0|||448.0|344.0|396.0|250.0|||190.0|396.0|495.0|396.0|545.0|446.0|397.0|342.0|495.0|485.0|297.0|446.0|198.0|476.0|
||2016|139.0|263.0|409.0||250.0|409.0|||272.0|351.0|364.0|222.0|||111.0|363.0|409.0|364.0|455.0|410.0|318.0|318.0|455.0|452.0|222.0|318.0|182.0|400.0|
||2017|133.0|264.0|484.0||250.0|396.0|||250.0|260.0|352.0|172.0|||100.0|352.0|396.0|352.0|396.0|440.0|352.0|317.0|528.0|442.0|229.0|282.0|176.0|352.0|
||2018|151.0|262.0|500.0||250.0|450.0||256.0|253.0|313.0|400.0|300.0|||111.0|400.0|450.0|400.0|400.0|451.0|401.0|360.0|600.0|500.0|300.0|320.0|200.0|400.0|
||2019|350.0|250.0|450.0||333.0|450.0||||311.0|400.0|401.0||196.0|143.0|400.0|460.0|400.0|450.0|450.0|400.0|380.0|600.0|497.0|310.0|330.0|200.0|400.0|
||2020|353.0|246.0|536.0||250.0|453.0|||111.0|303.0|403.0|404.0||200.0|143.0|403.0|453.0|403.0|453.0|453.0|378.0|383.0|453.0|452.0|121.0|302.0|252.0|383.0|
||2021|350.0|244.0|450.0||300.0|450.0||250.0|180.0|300.0|400.0|400.0||200.0||350.0|400.0|450.0|400.0|400.0|411.0|380.0|450.0|452.0|115.0|300.0|250.0|360.0|
|Verim ve Sulu ve Birinci Ekiliş ve 01.11.95.00.02. (Ayçiçeği Tohumu (Çerezlik)) - Kg/Dekar|2015|160.0||252.0||||||||302.0|100.0||||150.0|404.0||166.0|||220.0|252.0|130.0|200.0||||
||2016|150.0||250.0||||||||300.0|0.0||||150.0|400.0||100.0|420.0|||150.0|153.0|175.0||||
||2017|150.0||250.0||||||||300.0|||||150.0|400.0||120.0|417.0|||150.0|173.0|250.0||||
||2018|150.0||||||||||300.0|||||150.0|400.0||120.0|400.0|||150.0|183.0|200.0||||
||2019|151.0||||||||||300.0|||199.0||167.0|399.0||121.0|393.0|||151.0|198.0|211.0||||
||2020|150.0||||||||||300.0|||200.0||167.0|400.0||120.0|||300.0|200.0|200.0|205.0||||
||2021|150.0|||||||||247.0|296.0|||197.0||160.0|444.0||118.0|||345.0|197.0|200.0|198.0|||296.0|
|Verim ve Sulu ve İkinci Ekiliş ve 01.11.81.00.00. (Soya Fasulyesi) - Kg/Dekar|2015|||||||||||||||||||415.0||||||||||
||2016|||||||||||||||||||380.0||||||||||
||2017|||||||||||||||||||385.0||||||||||
||2020||||||||||||||||350.0|||||||||||||
||2021||||||||||||||||300.0|||||||||||||
|Verim ve Sulu ve İkinci Ekiliş ve 01.11.95.00.01. (Ayçiçeği Tohumu (Yağlık)) - Kg/Dekar|2015|||300.0|||300.0||||300.0|||||||400.0|230.0|400.0||||400.0|||||350.0|
||2016|120.0||300.0|||300.0|||||350.0||||||400.0|230.0|360.0||||380.0|||||380.0|
||2017|120.0||300.0|||300.0|||||350.0|||||||230.0|350.0||||380.0|||||380.0|
||2018|123.0|259.0|300.0|||300.0|||||350.0||||||400.0|230.0|350.0||||380.0|||||380.0|
||2019|274.0|240.0|272.0|||302.0|||||353.0||||||402.0|232.0|353.0||||383.0|||||353.0|
||2020|291.0||369.0|||316.0|||||369.0|||||211.0|401.0|211.0|358.0||||401.0|||||369.0|
||2021|277.0||350.0|||300.0|||||350.0|||||200.0|280.0|300.0|310.0||||350.0|||||300.0|
|Verim ve Sulu ve İkinci Ekiliş ve 01.11.95.00.02. (Ayçiçeği Tohumu (Çerezlik)) - Kg/Dekar|2015|||100.0||||||||||||||||||||260.0||||||
||2016|||||||||||||||||||||||160.0||||||
||2017|||||||||||||||||||||||150.0||||||
||2018||273.0|||||||||||||||||||||140.0||||||
||2019||247.0|||||||||||||||||||||140.0||||||
||2021|||||||||||||||||250.0||||||80.0||||||
|Üretim Miktarı ve Kuru ve Birinci Ekiliş ve 01.11.81.00.00. (Soya Fasulyesi) - Ton|2020||||||||||||||||||||25.0|||||||||
||2021|||||||||||||||||||||||||2.0||||
|Üretim Miktarı ve Kuru ve Birinci Ekiliş ve 01.11.95.00.01. (Ayçiçeği Tohumu (Yağlık)) - Ton|2015|82.0|41.0|41.0|||204.0|||8.0|||25.0|||6.0|38.0|1430.0||569.0|138.0||185.0||||||221.0|
||2016|49.0|31.0|9.0|||173.0|||5.0|||26.0||6.0|3.0|32.0|1425.0||330.0|116.0||||||||190.0|
||2017|35.0|31.0|10.0|||187.0|||4.0|||22.0|||2.0|34.0|4613.0||382.0|29.0|||||10.0|||217.0|
||2018|41.0||114.0|||193.0|||3.0|||75.0|7.0||2.0|96.0|5414.0||341.0|55.0||||27.0||||177.0|
||2019|26.0||85.0|||181.0|||18.0|||82.0|||1.0|466.0|1365.0||141.0|13.0|5.0|||230.0||||154.0|
||2020|45.0||45.0|||193.0|41.0|||||98.0|||1.0|1018.0|1349.0||231.0|47.0||||||||141.0|
||2021|40.0|11.0|192.0|||213.0|35.0|||||22.0||||1394.0|864.0||524.0|37.0|||||11.0|||70.0|
|Üretim Miktarı ve Kuru ve Birinci Ekiliş ve 01.11.95.00.02. (Ayçiçeği Tohumu (Çerezlik)) - Ton|2015||||||||||||18.0||3.0||2.0||||||5.0|||7.0|||180.0|
||2016||||||||||||23.0||4.0||2.0|||||||||5.0|||144.0|
||2017||||||||||||23.0||||2.0||||16.0|20.0||||25.0|||144.0|
||2018||||||||||||38.0||||2.0||||8.0|24.0||||11.0|||144.0|
||2019||||7.0||||||||48.0||||2.0||||9.0|33.0||||12.0|||160.0|
||2020||||8.0||||||||74.0||||2.0|||||45.0||||10.0|||120.0|
||2021||||8.0||||||||42.0||||16.0|||||39.0||||4.0|||55.0|
|Üretim Miktarı ve Kuru ve İkinci Ekiliş ve 01.11.95.00.01. (Ayçiçeği Tohumu (Yağlık)) - Ton|2015|||13.0||||||||||||||||||||||||||
||2016|||14.0||||||||||||||||||||||||||
||2017|||14.0||||||||||||||||||||||||||
|Üretim Miktarı ve Sulu ve Birinci Ekiliş ve 01.11.81.00.00. (Soya Fasulyesi) - Ton|2015|||72.0||||||||||||||||5.0||||43.0||||||
||2016|||20.0||||||||15.0||||||||5.0||||40.0||||||
||2017|||20.0||||||||15.0||||||||5.0||||41.0||||||
||2018|||22.0||||||||17.0||||||||||||||||||
||2019|||37.0||||||||14.0||||||||||||||||||
||2020|||20.0||||||||12.0||||||||||||||||||
||2021|||20.0||||||||12.0|||||35.0|||||||||24.0|28.0|||
|Üretim Miktarı ve Sulu ve Birinci Ekiliş ve 01.11.95.00.01. (Ayçiçeği Tohumu (Yağlık)) - Ton|2015|82.0|172.0|22109.0||1.0|34801.0|||74.0|55.0|1965.0|7.0|||4.0|917.0|14330.0|11464.0|76561.0|546.0|164.0|1837.0|4504.0|48.0|247.0|9212.0|6223.0|12735.0|
||2016|25.0|142.0|29454.0||1.0|25772.0|||49.0|13.0|2618.0|6.0|||1.0|757.0|16568.0|16690.0|69543.0|213.0|150.0|1432.0|4500.0|61.0|10.0|7732.0|6545.0|11520.0|
