|||Sütunlar|||||||||||||||||||||||||||||||
Satırlar|||Konya(Ahırlı)-1868|Konya(Akören)-1753|Konya(Akşehir)-1122|Konya(Altınekin)-1760|Konya(Beyşehir)-1188|Konya(Bozkır)-1207|Konya(Cihanbeyli)-1222|Konya(Derbent)-1907|Konya(Derebucak)-1789|Konya(Doğanhisar)-1285|Konya(Emirgazi)-1920|Konya(Ereğli)-1312|Konya(Güneysınır)-1933|Konya(Hadim)-1375|Konya(Halkapınar)-1937|Konya(Hüyük)-1804|Konya(Ilgın)-1400|Konya(Kadınhanı)-1422|Konya(Karapınar)-1441|Konya(Karatay)-1814|Konya(Kulu)-1491|Konya(Meram)-1827|Konya(Sarayönü)-1598|Konya(Selçuklu)-1839|Konya(Seydişehir)-1617|Konya(Taşkent)-1848|Konya(Tuzlukçu)-1990|Konya(Yalıhüyük)-1994|Konya(Yunak)-1735|Konya(Çeltik)-1902|Konya(Çumra)-1262|
||||||||||||||||||||||||||||||||||
||||||||||||||||||||||||||||||||||
||2017||15.0|23.0|43.0|23.0||22.0|9.0||20.0||23.0|8.0|24.0|39.0||26.0|27.0|6.0|27.0|12.0|31.0|27.0|23.0|15.0|12.0|16.0||30.0|36.0|29.0|
||2018||17.0|35.0|48.0|22.0||24.0|10.0||17.0||26.0|8.0|20.0|39.0||28.0|26.0|7.0|23.0|13.0|34.0|30.0|22.0|21.0|14.0|18.0||30.0|20.0|32.0|
||2019|22.0|20.0|0.0|56.0|20.0||28.0|12.0||17.0||30.0|8.0|25.0|45.0||29.0|26.0|8.0|23.0|13.0|40.0|15.0|22.0|10.0|14.0|16.0|||20.0|31.0|
||2020|22.0|20.0|30.0|56.0|20.0||28.0|13.0||20.0||30.0|10.0|35.0|45.0||29.0|27.0|8.0|23.0|13.0|42.0|15.0|21.0|30.0|14.0|20.0|||19.0|30.0|
||2021|22.0|20.0|30.0|56.0|20.0||28.0|10.0||20.0||30.0|25.0|30.0|31.0|21.0|28.0|30.0|8.0|23.0|15.0|42.0|15.0|20.0|30.0|14.0|22.0|||16.0|30.0|
|Verim ve 01.24.23.00.02. (Zerdali) - Kg/Meyve Veren Ağaç|2015|||||||||||||||||40.0|15.0||20.0||15.0||50.0||||||||
||2016|||||||||||||||||40.0|16.0||10.0||||50.0||||||||
||2017|||||||||||||||||40.0|15.0||10.0||||50.0||||||||
||2018|||||||||||||||||40.0|15.0||10.0||||50.0||||||||
||2019|||||||||||||||||40.0|15.0||10.0||||||||||||
||2020|||||||||||||||||40.0|15.0||10.0||||||||||||
||2021|||||||||||||||||40.0|18.0||12.0||||||||||||
|Verim ve 01.24.24.00.01. (Kiraz) - Kg/Meyve Veren Ağaç|2015|45.0|18.0|73.0|33.0|18.0|9.0|29.0|14.0|28.0|45.0||41.0|23.0|15.0|41.0|15.0|25.0|23.0|14.0|18.0|14.0|27.0|5.0|32.0|27.0|14.0|46.0|19.0|32.0|84.0|5.0|
||2016|42.0|19.0|94.0|33.0|19.0|14.0|29.0|14.0|28.0|47.0||42.0|21.0|23.0|47.0|23.0|23.0|21.0|12.0|15.0|15.0|28.0|6.0|33.0|33.0|13.0|39.0|18.0|33.0|67.0|38.0|
||2017|20.0|10.0|78.0|35.0|20.0|17.0|31.0|15.0|30.0|47.0||45.0|21.0|25.0|50.0|25.0|25.0|20.0|13.0|15.0|15.0|40.0|6.0|35.0|5.0|13.0|20.0|20.0|33.0|64.0|37.0|
||2018|40.0|10.0|60.0|35.0|20.0|20.0|31.0|15.0|30.0|47.0||45.0|25.0|25.0|45.0|27.0|25.0|20.0|13.0|15.0|15.0|40.0|6.0|30.0|25.0|13.0|20.0|20.0|33.0|33.0|37.0|
||2019|40.0|10.0|60.0|35.0|20.0|18.0|31.0|15.0|30.0|50.0||45.0|25.0|25.0|45.0|26.0|25.0|20.0|13.0|15.0|15.0|40.0|20.0|30.0|30.0|13.0|18.0|20.0||32.0|37.0|
||2020|40.0|10.0|50.0|40.0|20.0|20.0|31.0|18.0|30.0|50.0||45.0|25.0|25.0|45.0|27.0|25.0|22.0|13.0|15.0|15.0|45.0|20.0|28.0|30.0|13.0|20.0|20.0||35.0|37.0|
||2021|40.0|10.0|50.0|40.0|20.0|10.0|31.0|14.0|30.0|50.0||45.0|28.0|13.0|32.0|28.0|25.0|20.0|15.0|25.0|15.0|45.0|20.0|25.0|35.0|13.0|23.0|10.0||20.0|37.0|
|Verim ve 01.24.24.00.02. (Vişne) - Kg/Meyve Veren Ağaç|2015|39.0|20.0|72.0|40.0|25.0|20.0|15.0|15.0||57.0||45.0|16.0|19.0|40.0|15.0|28.0|22.0|19.0|20.0|15.0|25.0|5.0|30.0|30.0|13.0|30.0|22.0|27.0|10.0||
||2016||20.0|73.0|39.0|25.0|18.0|15.0|15.0||45.0||45.0|16.0|23.0|45.0|25.0|28.0|22.0|19.0|16.0|15.0|20.0|5.0|30.0|30.0|13.0|32.0|22.0|28.0|30.0||
||2017||20.0|85.0|40.0|25.0|20.0|15.0|15.0||45.0||45.0|16.0|27.0|45.0|20.0|28.0|22.0|19.0|15.0|15.0|25.0|6.0|30.0|31.0|13.0|20.0|20.0|28.0|60.0||
||2018||20.0|50.0|40.0|25.0|21.0|15.0|15.0||45.0||45.0|25.0|27.0|40.0|20.0|28.0|22.0|3.0|14.0|15.0|25.0|6.0|24.0|30.0|13.0|20.0|20.0|28.0|35.0||
||2019||20.0|50.0|40.0|25.0|20.0|15.0|15.0||45.0||45.0|26.0|27.0|40.0|20.0|28.0|22.0|3.0|13.0|15.0|25.0|20.0|26.0|35.0|13.0|19.0|20.0||35.0||
||2020||20.0|55.0|40.0|25.0|22.0|15.0|16.0||40.0||45.0|25.0|22.0|40.0|21.0|28.0|23.0|4.0|13.0|15.0|29.0|20.0|25.0|35.0|14.0|22.0|20.0||35.0||
||2021||20.0|55.0|40.0|25.0|12.0|15.0|12.0||40.0||45.0|25.0|20.0|32.0|22.0|28.0|25.0|7.0|60.0|15.0|28.0|20.0|25.0|40.0|14.0|23.0|11.0||28.0||
|Verim ve 01.24.25.00.00. (Şeftali) - Kg/Meyve Veren Ağaç|2015||5.0|25.0|34.0|25.0|20.0|14.0|13.0||50.0||20.0|27.0|15.0|40.0|23.0|30.0|27.0|17.0|13.0|20.0|30.0|7.0|20.0|8.0|20.0||22.0|30.0||4.0|
||2016||5.0|38.0|32.0|29.0|19.0|14.0|13.0||50.0||19.0|26.0|24.0|43.0|23.0|29.0|28.0|17.0|9.0|19.0|24.0|6.0|20.0|19.0|21.0||22.0|29.0||15.0|
||2017||20.0|40.0|34.0|30.0|20.0|14.0|12.0||50.0||20.0|25.0|23.0|45.0|24.0|30.0|29.0|17.0|9.0|20.0|35.0|8.0|20.0|20.0|21.0||20.0|29.0||16.0|
||2018||20.0|30.0|34.0|30.0|21.0|14.0|12.0||50.0||20.0|25.0|23.0|40.0|24.0|30.0|29.0|17.0|8.0|20.0|35.0|8.0|18.0|25.0|21.0||20.0|29.0||17.0|
||2019||20.0|30.0|34.0|30.0|20.0|14.0|12.0||50.0||20.0|25.0|25.0|40.0|22.0|30.0|29.0|17.0|8.0|20.0|35.0|8.0|18.0|30.0|21.0||21.0|||17.0|
||2020||20.0|30.0|34.0|30.0|20.0|14.0|13.0||50.0||20.0|22.0|19.0|40.0|25.0|30.0|29.0|17.0|8.0|20.0|40.0|8.0|18.0|35.0|22.0||21.0||0.0|17.0|
||2021||20.0|30.0|34.0|30.0|10.0|14.0|11.0||40.0||20.0|20.0|20.0|40.0|27.0|30.0|29.0|17.0|50.0|20.0|38.0|9.0|18.0|40.0|22.0||10.0||0.0|17.0|
|Verim ve 01.24.26.00.00. (Nektarin) - Kg/Meyve Veren Ağaç|2015||6.0||||||||40.0|||8.0|||||||||||||||||||
||2016||9.0||||||||40.0|||9.0|||||||||||||||||||
||2017||9.0||||||||40.0|||10.0|||||||||||||||||||
||2018||10.0||||||||40.0|||14.0|||||||||||||||||||
||2019||10.0|35.0|||||||40.0|||13.0|||||||||||||||||||
||2020||11.0|35.0||||||||||13.0|||||||||||||||||||
||2021||11.0|35.0||||||||||14.0|||||||||||||||||||
|Verim ve 01.24.27.00.00. (Erik) - Kg/Meyve Veren Ağaç|2015|30.0|6.0|50.0|30.0|35.0|15.0|20.0|25.0||50.0||30.0|9.0|29.0|40.0|17.0|23.0|25.0|20.0|25.0|15.0|35.0|10.0|20.0|20.0|25.0||15.0|120.0|46.0|4.0|
||2016|25.0|5.0|49.0|30.0|35.0|17.0|20.0|25.0||50.0||30.0|9.0|29.0|45.0|23.0|23.0|25.0|20.0|20.0|15.0|35.0|10.0|20.0|35.0|25.0||20.0|109.0|44.0|30.0|
||2017|50.0|20.0|50.0|30.0|35.0|20.0|20.0|25.0||50.0||30.0|8.0|30.0|45.0|19.0|23.0|25.0|20.0|19.0|15.0|50.0|12.0|20.0|35.0|25.0||20.0|110.0|53.0|30.0|
||2018|60.0|20.0|70.0|30.0|35.0|30.0|20.0|25.0||50.0||30.0|20.0|30.0|40.0|20.0|23.0|25.0|20.0|18.0|15.0|50.0|12.0|20.0|35.0|25.0||20.0|110.0|24.0|30.0|
