||2016|7115.0|10.0|244.0||8.0||2081.0||7057.0|||1.0|487.0|48.0||122.0|||67.0|3.0|52.0|1.0||2.0||||1.0|303.0|456.0||1948.0|26.0||560.0|2530.0|7.0||103.0|369.0||||||10.0|1.0|74.0||253.0|||||||
||2017|7021.0|15.0|242.0||6.0||1805.0||7335.0|||1.0|507.0|41.0||122.0|||76.0|3.0|51.0|1.0||2.0||||1.0|327.0|503.0||2101.0|26.0||624.0|2512.0|7.0||106.0|364.0||||||10.0|1.0|80.0||260.0|||||||
||2018|6951.0|15.0|232.0||5.0||1634.0||7428.0|||1.0|510.0|40.0||122.0|||74.0|3.0|51.0|1.0||2.0||||1.0|323.0|510.0||2114.0|26.0||616.0|2523.0|7.0||106.0|417.0||||||10.0|1.0|80.0||259.0|||||||
||2019|7657.0|13.0|251.0||4.0||1490.0||6732.0|||1.0|465.0|36.0||102.0|||79.0|3.0|56.0|1.0||2.0||||1.0|329.0|534.0||2294.0|29.0||618.0|2763.0|7.0||110.0|457.0||||||6.0|1.0|82.0||267.0|||||||
||2020|7591.0|13.0|251.0||4.0||1565.0||6646.0|||1.0|485.0|36.0||100.0|||78.0|3.0|58.0|1.0||2.0|||||316.0|535.0||2360.0|29.0||613.0|2826.0|7.0||112.0|457.0||||||7.0||86.0||275.0|||||||
||2021|7312.0|5.0|248.0||1.0||2065.0||7644.0|||1.0|496.0|35.0||98.0|||80.0|3.0|51.0|||2.0|||||178.0|487.0||2337.0|13.0||539.0|2855.0|||92.0|497.0||||||7.0||73.0||266.0|||||||
|Gümüşhane-29|2004|1945.0||||||1849.0||33.0||||6.0|52.0||25.0|||||2.0||||||||17.0|23.0|||||8.0||||91.0|||||||3.0|19.0|48.0|134.0||||3.0||||
||2005|1884.0||||||4315.0||16.0||||6.0|50.0||22.0|||||3.0||||||||19.0|32.0||1027.0|76.0||8.0|1843.0|||84.0|||||||3.0|23.0|61.0|100.0||||3.0||||
||2006|1859.0||||||4488.0||19.0||||12.0|52.0||35.0|||||5.0|||||10.0|||19.0|37.0||937.0|70.0||4.0|1902.0|||86.0|1.0||||||5.0|23.0|38.0|91.0|1.0|||3.0||||
||2007|2037.0||||||4358.0||20.0||||12.0|57.0||37.0|||1.0||5.0|||||10.0|||21.0|38.0||933.0|70.0||6.0|1936.0|||86.0|3.0||||||4.0|21.0|39.0|119.0|1.0|||3.0||||
||2008|2164.0||||||4458.0||18.0||||15.0|73.0||40.0|||1.0||5.0||||||||21.0|37.0||1012.0|67.0||10.0|2085.0|||84.0|3.0||||||4.0|20.0|38.0|114.0|1.0|||3.0||||
||2009|1579.0||||||4473.0||20.0||||22.0|74.0||59.0|||1.0||2.0||||||||27.0|37.0||1015.0|51.0||10.0|2124.0|||64.0|3.0||||||4.0|20.0|43.0|120.0||||3.0||||
||2010|1947.0||||||3581.0||17.0||||18.0|60.0||9.0|||||2.0||||||||14.0|46.0||994.0|119.0|||2157.0||||1.0||||||3.0||38.0|104.0||||||||
||2011|1715.0||||||2243.0||17.0||||19.0|61.0||10.0|||||2.0||||||||13.0|45.0||1050.0|75.0|||2370.0||||1.0||||||3.0||40.0|106.0||||||||
||2012|1723.0||||||2158.0||19.0||||63.0|17.0||13.0|||||2.0||||||||12.0|44.0||1073.0|73.0|||2342.0||||0.0||||||3.0||39.0|100.0||||||||
||2013|1834.0||||||1841.0||18.0||||64.0|18.0||14.0|||||2.0||||||||8.0|48.0||674.0|72.0|||1579.0||||0.0||||||8.0||36.0|96.0||||0.0||||
||2014|1935.0||||||1836.0||18.0||||65.0|21.0||15.0|||||2.0||||||||9.0|50.0||755.0|73.0|||1667.0||||2.0||||||10.0||39.0|105.0||||1.0||||
||2015|1923.0||||||1758.0||18.0||||55.0|26.0||16.0|||||2.0||||||||9.0|54.0||788.0|75.0|||1682.0||||2.0||||||7.0||39.0|100.0||||1.0||||
||2016|2682.0||||||1106.0||17.0||||58.0|40.0||19.0|||||2.0||||||||503.0|547.0||2872.0|68.0|||2977.0||||||||||1.0||133.0|109.0||||1.0||||
||2017|2955.0||||||1136.0||17.0||||59.0|44.0||20.0|||||2.0||||||||411.0|455.0||2666.0|81.0|||2988.0||||||||||3.0||125.0|21.0||||1.0||||
||2018|3106.0||||||1198.0||18.0||||60.0|49.0||21.0|||||2.0||||||||412.0|456.0||2582.0|88.0|||3390.0||||||||||5.0||117.0|22.0||||1.0||||
||2019|3036.0||||||1214.0||18.0||||61.0|54.0||23.0|||||2.0||||||||322.0|361.0||2621.0|97.0|||3158.0||||||||||5.0||118.0|21.0||||1.0||||
||2020|2252.0||||||1252.0||20.0||||63.0|61.0||25.0|||||2.0||||||||40.0|83.0||1006.0|106.0|||1793.0||||||||||5.0||24.0|7.0||||1.0|||160.0|
||2021|2381.0||||||1266.0||22.0||||66.0|69.0||26.0|||||2.0||||||||41.0|112.0||1287.0|110.0|||2091.0||||||||||5.0||23.0|7.0||||1.0|||178.0|
|Hakkari-30|2004|427.0||||12.0||247.0||||||||25.0|11.0|||||7.0|||1.0||90.0|46.0||849.0|958.0||||30.0|1059.0|||10.0|550.0|39.0|||||6.0||2.0|983.0|422.0|11.0|||9.0|29.0|||
||2005|521.0||||6.0||505.0|||||||1.0|25.0|1.0|||||8.0|||1.0||25.0|57.0||762.0|1000.0||2088.0||34.0|1012.0|6692.0|15.0||406.0|49.0||||4.0|6.0|450.0|2.0|652.0|469.0|11.0|||9.0|26.0|||
||2006|550.0||||12.0||588.0|||||||9.0|3.0|10.0|||||9.0|||2.0||56.0|45.0||632.0|990.0||2123.0||114.0|472.0|5303.0|15.0||122.0|156.0||||8.0||7.0|11.0|672.0|2720.0|11.0|||9.0|16.0|||
||2007|1135.0||||6.0||200.0|||||||50.0|||||||114.0||6.0|7.0||1420.0|312.0||1255.0|1660.0||10160.0||498.0|579.0|24511.0|60.0||662.0|1105.0||||38.0||49.0||659.0|1725.0||||63.0|31.0|||
||2008|1092.0||||6.0||181.0|||||||50.0|||||||106.0||5.0|7.0||5900.0|347.0||1141.0|1486.0||9642.0||495.0|493.0|25486.0|74.0||605.0|1045.0||||36.0||50.0||572.0|1389.0||||50.0|28.0|||
||2009|1040.0||||6.0||211.0|||||||50.0|||||||87.0||4.0|6.0||7008.0|298.0||1329.0|1744.0||9105.0||498.0|565.0|22719.0|88.0||512.0|1050.0||||36.0||49.0||595.0|1334.0||||41.0|33.0|||
