|||Sütunlar||||||||||||||
Satırlar|||||||||||||||||
|||||||||||||||||
|||Üretim Miktarı ve Alçak Tünel ve 01.25.13.00.00. (Çilek) - Ton|Üretim Miktarı ve Cam Sera ve 01.22.12.00.00. (Muz, Plantain Ve Benzerleri) - Ton|Üretim Miktarı ve Cam Sera ve 01.25.13.00.00. (Çilek) - Ton|Üretim Miktarı ve Plastik Sera ve 01.21.11.01.01. (Sofralık Üzüm, Çekirdekli) - Ton|Üretim Miktarı ve Plastik Sera ve 01.21.11.01.02. (Sofralık Üzüm, Çekirdeksiz) - Ton|Üretim Miktarı ve Plastik Sera ve 01.22.12.00.00. (Muz, Plantain Ve Benzerleri) - Ton|Üretim Miktarı ve Plastik Sera ve 01.24.23.00.01. (Kayısı) - Ton|Üretim Miktarı ve Plastik Sera ve 01.24.26.00.00. (Nektarin) - Ton|Üretim Miktarı ve Plastik Sera ve 01.24.27.00.00. (Erik) - Ton|Üretim Miktarı ve Plastik Sera ve 01.25.13.00.00. (Çilek) - Ton|Üretim Miktarı ve Plastik Sera ve 01.25.19.00.01. (Maviyemiş) - Ton|Üretim Miktarı ve Yüksek Tünel ve 01.22.12.00.00. (Muz, Plantain Ve Benzerleri) - Ton|Üretim Miktarı ve Yüksek Tünel ve 01.24.27.00.00. (Erik) - Ton|Üretim Miktarı ve Yüksek Tünel ve 01.25.13.00.00. (Çilek) - Ton|
||2012||||0.0||||||5.0||||28.0|
||2013||||10.0||||||4.0|||||
||2014||||10.0||||||5.0|||||
||2015||||10.0||||||13.0|||||
||2016||||10.0||||||12.0||||320.0|
||2017||||||||||12.0||||320.0|
||2018||||||||||12.0||||320.0|
||2019||||||432.0||||12.0||||320.0|
||2020||||||890.0||||16.0||||328.0|
||2021||||||890.0||||16.0||||320.0|
|Mersin-33|2004|5370.0|||||80085.0||||1155.0||||40348.0|
||2005|6450.0|||||88755.0||||1140.0||||40348.0|
||2006|19020.0|||||117289.0||||145.0||||44420.0|
||2007|7820.0|||||123320.0||||1100.0||||52225.0|
||2008|7820.0||18.0|||135295.0||||1100.0||||52000.0|
||2009|7820.0||22.0|||135305.0||||600.0||||52000.0|
||2010|8020.0||4.0|308.0||137230.0||||600.0||||52000.0|
||2011|8000.0||4.0|308.0||148930.0||||600.0||||52000.0|
||2012|8000.0||4.0|303.0||151310.0|600.0|||600.0||||52000.0|
||2013|8245.0||4.0|393.0||160315.0|627.0|60.0||1000.0||||52000.0|
||2014|9840.0||4.0|323.0||164360.0|646.0|66.0||600.0||||57050.0|
||2015|12394.0||10.0|842.0||178157.0|775.0|60.0||1000.0||||61225.0|
||2016|13750.0||10.0|860.0||214452.0|728.0|60.0|94.0|1750.0||||59368.0|
||2017|23360.0|9186.0|31.0|901.0||241542.0|794.0|60.0|150.0|1796.0||||37327.0|
||2018|56755.0||26.0|939.0||258300.0|602.0|20.0|151.0|4971.0||9186.0||25627.0|
||2019|63408.0||26.0|1003.0||294698.0|562.0|20.0|250.0|6260.0||17269.0||30602.0|
||2020|74348.0||21.0|1038.0||347086.0|513.0|10.0|320.0|4740.0||12396.0||30425.0|
||2021|94931.0||21.0|1146.0||421995.0|479.0|10.0|345.0|7500.0||26759.0||34373.0|
|Muğla-48|2004|10.0|1.0||||||||45.0||||20.0|
||2005|111.0|1.0||||||||45.0||||50.0|
||2006|104.0|1.0||||||||60.0||||115.0|
||2007|214.0|||||||||60.0||||115.0|
||2008|214.0|||||||||60.0||||115.0|
||2009|484.0|||||||||60.0||||10.0|
||2010|444.0|||||||||120.0||||25.0|
||2011|404.0|||||||||120.0||||25.0|
||2012|569.0|||||||||110.0||||25.0|
||2013|579.0|||||||||105.0||||25.0|
||2014|728.0|||||||||60.0||||25.0|
||2015|648.0|||||||||6.0||||25.0|
||2016|918.0|||||||||21.0||||91.0|
||2017|895.0|||||500.0||||19.0||||97.0|
||2018|845.0|||40.0|80.0|1840.0||||24.0||||127.0|
||2019|675.0||18.0|40.0|80.0|2760.0||||||||123.0|
||2020|711.0|||8.0||3662.0||||33.0||||208.0|
||2021|973.0|||16.0||4981.0||||33.0||||249.0|
|Osmaniye-80|2021||||||390.0|||||||||
|Sakarya-54|2010||||||||||135.0|||||
||2011||||||||||135.0|||||
|Samsun-55|2020||||||||||34.0|||||
||2021||||||||||34.0|||||
|Sinop-57|2020||||||||||13.0|||||
||2021||||||||||100.0|||||
|Tekirdağ-59|2004||||||||||||||5.0|
||2021||||||||||||||1.0|
|Tokat-60|2020||||||||||30.0|||||
||2021||||||||||58.0|||||
|Trabzon-61|2004||||||||||13.0|||||
