|||Sütunlar||||
Satırlar|||||||
|||||||
|||Alçak Tünel - Dekar|Cam Sera - Dekar|Plastik Sera - Dekar|Yüksek Tünel - Dekar|
||2021|4.0|0.0|8637.0|38.0|
|Bingöl-12|2004|0.0|0.0|16.0|0.0|
||2005|0.0|0.0|12.0|0.0|
||2006|0.0|0.0|0.0|0.0|
||2007|0.0|0.0|0.0|0.0|
||2008|0.0|0.0|0.0|0.0|
||2009|0.0|0.0|0.0|0.0|
||2010|0.0|0.0|0.0|0.0|
||2011|0.0|0.0|0.0|0.0|
||2012|0.0|0.0|0.0|0.0|
||2013|0.0|0.0|0.0|0.0|
||2014|0.0|0.0|0.0|0.0|
||2015|0.0|0.0|0.0|0.0|
||2016|0.0|0.0|0.0|0.0|
||2017|0.0|0.0|25.0|0.0|
||2018|0.0|0.0|40.0|0.0|
||2019|0.0|0.0|44.0|0.0|
||2020|0.0|0.0|24.0|0.0|
||2021|0.0|0.0|24.0|0.0|
|Bitlis-13|2004|0.0|0.0|0.0|3.0|
||2005|0.0|0.0|5.0|0.0|
||2006|0.0|0.0|7.0|0.0|
||2007|0.0|0.0|5.0|0.0|
||2008|0.0|0.0|5.0|0.0|
||2009|0.0|0.0|0.0|0.0|
||2010|0.0|0.0|0.0|0.0|
||2011|0.0|0.0|0.0|0.0|
||2012|0.0|0.0|0.0|0.0|
||2013|0.0|0.0|0.0|0.0|
||2014|0.0|0.0|0.0|0.0|
||2015|0.0|0.0|0.0|0.0|
||2016|0.0|0.0|0.0|0.0|
||2017|0.0|0.0|0.0|0.0|
||2018|0.0|0.0|0.0|0.0|
||2019|0.0|0.0|0.0|0.0|
||2020|0.0|0.0|0.0|0.0|
||2021|0.0|0.0|0.0|0.0|
|Bolu-14|2004|0.0|0.0|0.0|37.0|
||2005|0.0|0.0|40.0|0.0|
||2006|0.0|0.0|44.0|0.0|
||2007|0.0|0.0|0.0|40.0|
||2008|0.0|0.0|0.0|40.0|
||2009|0.0|0.0|0.0|35.0|
||2010|2.0|0.0|0.0|36.0|
||2011|2.0|0.0|5.0|40.5|
||2012|2.0|0.0|5.0|47.5|
||2013|2.0|0.0|5.0|47.5|
||2014|0.0|0.0|20.0|19.0|
||2015|2.0|0.0|20.0|34.0|
||2016|0.0|0.0|27.0|29.0|
||2017|0.0|0.0|19.0|25.0|
||2018|0.0|0.0|25.0|25.0|
||2019|0.0|0.0|28.0|29.0|
||2020|0.0|0.0|103.0|41.0|
||2021|0.0|0.0|72.0|44.0|
|Burdur-15|2004|9.0|59.0|219.0|11.0|
||2005|13.0|59.0|198.0|8.0|
||2006|13.0|59.0|203.0|8.0|
||2007|8.0|52.0|297.0|13.0|
||2008|20.0|52.0|768.0|4.0|
||2009|21.0|52.0|829.0|8.0|
||2010|26.0|52.0|1025.0|9.0|
||2011|16.0|52.0|1398.0|0.0|
||2012|18.0|52.0|1904.0|6.0|
||2013|18.0|52.0|2324.0|0.0|
||2014|18.0|52.0|2566.0|45.0|
||2015|29.0|52.0|4754.0|45.0|
||2016|0.0|90.0|7215.0|159.0|
||2017|29.0|90.0|8301.0|328.0|
||2018|29.0|90.0|8390.0|600.0|
||2019|28.0|87.0|9728.0|0.0|
||2020|100.0|91.0|11479.0|8.0|
||2021|95.0|91.0|12603.4|15.0|
|Bursa-16|2004|0.0|0.0|369.0|33.0|
||2005|240.0|0.0|365.0|31.0|
||2006|0.0|0.0|415.0|15.0|
||2007|19.0|0.0|28.0|57.0|
||2008|19.0|0.0|277.0|265.0|
||2009|12.0|0.0|245.0|141.0|
||2010|0.0|0.0|39.0|383.0|
||2011|2.4|2.4|105.1|450.0|
||2012|3.3|15.4|114.7|634.1|
||2013|3.6|18.4|247.7|696.1|
||2014|4.1|2.4|209.7|704.1|
||2015|0.7|2.0|205.8|714.1|
||2016|0.2|2.0|229.1|722.3|
||2017|4.2|1.0|348.1|718.3|
||2018|37.2|1.0|311.9|748.3|
||2019|47.2|1.0|392.9|752.1|
||2020|3.2|1.0|321.7|987.6|
